,Ticker
0,AMD
1,NIO
2,AMC
3,CCL
4,SOFI
5,SNAP
6,SWN
7,AAL
8,TWTR
9,SHOP
10,OXY
11,TLRY
12,RBLX
13,TSLA
14,RIG
15,DKNG
16,TELL
17,NCLH
18,IQ
19,MRO
20,PLUG
21,CLF
22,SQ
23,VERU
24,GME
25,OPEN
26,FCEL
27,RDBX
28,AFRM
29,X
30,UEC
31,ATER
32,UAL
33,MARA
34,M
35,FUBO
36,RIOT
37,NFLX
38,NKLA
39,PTON
40,COIN
41,FTCH
42,LYFT
43,GEVO
44,UPST
45,JBLU
46,CDEV
47,GPS
48,SRNE
49,CVNA
50,REV
51,SPCE
52,HUT
53,CHPT
54,STNE
55,APA
56,AR
57,BBBY
58,NVTA
59,DM
60,SIGA
61,BTU
62,OCGN
63,AA
64,ROKU
65,NAT
66,AEO
67,RUN
68,ADN
69,TDOC
70,RIDE
71,PACB
72,NVAX
73,AERC
74,DOCU
75,EDU
76,JWN
77,ZIM
78,BKSY
79,BLUE
80,WTI
81,FUTU
82,WKHS
83,SIDU
84,FSLY
85,VTNR
86,JMIA
87,ETSY
88,KSS
89,UUUU
90,ARRY
91,REAL
92,CTIC
93,SAVE
94,GOGL
95,IPOF
96,SFIX
97,LAC
98,CMRX
99,RAD
